国家,中国
指标名称,中国:现货价(平均价):玉米
频率,日
单位,元/吨
指标ID,S5005793
时间区间,2009-01-04:2024-04-15
来源,汇易网
更新时间,'2024-04-15
2009-11-30,1867.0
2009-12-01,1867.0
2009-12-02,1864.0
2009-12-03,1867.0
2009-12-04,1873.0
2009-12-07,1878.0
2009-12-08,1878.0
2009-12-09,1878.0
2009-12-10,1881.0
2009-12-11,1885.0
2009-12-14,1884.0
2009-12-15,1885.0
2009-12-16,1885.0
2009-12-17,1885.0
2009-12-18,1882.0
2009-12-21,1882.0
2009-12-22,1882.0
2009-12-23,1882.0
2009-12-24,1878.0
2009-12-25,1880.0
2009-12-28,1885.0
2009-12-29,1885.0
2009-12-30,1884.0
2009-12-31,1884.0
2010-01-04,1877.0
2010-01-05,1878.0
2010-01-06,1880.0
2010-01-07,1878.0
2010-01-08,1881.0
2010-01-11,1886.0
2010-01-12,1886.0
2010-01-13,1884.0
2010-01-14,1884.0
2010-01-15,1886.0
2010-01-18,1886.0
2010-01-19,1885.0
2010-01-20,1884.0
2010-01-21,1881.0
2010-01-22,1881.0
2010-01-25,1881.0
2010-01-26,1883.0
2010-01-27,1880.0
2010-01-28,1881.0
2010-01-29,1881.0
2010-02-01,1878.0
2010-02-02,1877.0
2010-02-03,1874.0
2010-02-04,1874.0
2010-02-05,1873.0
2010-02-08,1873.0
2010-02-09,1875.0
2010-02-10,1875.0
2010-02-11,1875.0
2010-02-12,1875.0
2010-02-20,1875.0
2010-02-21,1876.0
2010-02-22,1874.0
2010-02-23,1874.0
2010-02-24,1873.0
2010-02-25,1873.0
2010-02-26,1873.0
2010-03-01,1873.0
2010-03-02,1873.0
2010-03-03,1873.0
2010-03-04,1873.0
2010-03-05,1873.0
2010-03-08,1875.0
2010-03-09,1875.0
2010-03-10,1877.0
2010-03-11,1880.0
2010-03-12,1886.0
2010-03-15,1889.0
2010-03-16,1889.0
2010-03-17,1893.0
2010-03-18,1895.0
2010-03-19,1896.0
2010-03-22,1901.0
2010-03-23,1904.0
2010-03-24,1906.0
2010-03-25,1906.0
2010-03-26,1909.0
2010-03-29,1919.0
2010-03-30,1921.0
2010-03-31,1927.0
2010-04-01,1933.0
2010-04-02,1948.0
2010-04-06,1950.0
2010-04-07,1952.0
2010-04-09,1956.0
2010-04-12,1956.0
2010-04-13,1956.0
2010-04-14,1960.0
2010-04-15,1962.0
2010-04-16,1965.0
2010-04-19,1969.0
2010-04-20,1970.0
2010-04-21,1971.0
2010-04-22,1973.0
2010-04-23,1975.0
2010-04-26,1977.0
2010-04-27,1978.0
2010-04-28,1978.0
2010-04-29,1980.0
2010-05-05,1980.0
2010-05-06,1986.0
2010-05-07,1993.0
2010-05-10,1999.0
2010-05-11,2003.0
2010-05-12,2008.0
2010-05-13,2012.0
2010-05-14,2015.0
2010-05-17,2020.0
2010-05-18,2021.0
2010-05-19,2025.0
2010-05-20,2027.0
2010-05-21,2036.0
2010-05-24,2041.0
2010-05-25,2045.0
2010-05-26,2052.0
2010-05-27,2053.0
2010-05-28,2055.0
2010-05-31,2057.0
2010-06-01,2056.0
2010-06-02,2056.0
2010-06-03,2056.0
2010-06-04,2055.0
2010-06-07,2050.0
2010-06-08,2050.0
2010-06-09,2048.0
2010-06-10,2048.0
2010-06-11,2048.0
2010-06-12,2045.0
2010-06-13,2045.0
2010-06-17,2043.0
2010-06-18,2043.0
2010-06-21,2039.0
2010-06-22,2039.0
2010-06-23,2033.0
2010-06-24,2033.0
2010-06-25,2026.0
2010-06-28,2024.0
2010-06-29,2024.0
2010-06-30,2022.0
2010-07-01,2023.0
2010-07-02,2024.0
2010-07-05,2021.0
2010-07-06,2021.0
2010-07-07,2022.0
2010-07-08,2022.0
2010-07-09,2023.0
2010-07-12,2024.0
2010-07-13,2024.0
2010-07-14,2024.0
2010-07-15,2024.0
2010-07-16,2021.0
2010-07-19,2022.0
2010-07-20,2022.0
2010-07-21,2026.0
2010-07-22,2024.0
2010-07-23,2028.0
2010-07-26,2032.0
